author_id,tweet_id,conversation_id,in_reply_to_tweet_id,date,txt_conv_head,txt_father,text,Subjectivity,Positivity,Negativity,Irony,Misogyny,Aggressiveness,Aggressiveness_Target,Context
_1295182466,_860794656442986497,_860556055801200640,_860556055801200640,2017-05-06T09:53:33.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/9Fvn423H9W,0,"@fattoquotidiano tra 1no/15 uscirà con i permessi premio. Intanto contate quanti ""onesti"" politici andranno a portargli solidarietà in cella",1,0,1,1,0,0,,1
_2983023015,_860742670892879872,_860556055801200640,_860556055801200640,2017-05-06T06:26:59.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/9Fvn423H9W,0,@fattoquotidiano Maledetto,1,0,1,0,0,1,1,1
_187316197,_860702905434820608,_860556055801200640,_860556055801200640,2017-05-06T03:48:58.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/9Fvn423H9W,0,@fattoquotidiano Si spera sia confermato fino alla Cassazione.,1,0,0,0,0,0,,1
_2475611930,_860629400039170052,_860556055801200640,_860561326074101760,2017-05-05T22:56:53.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/9Fvn423H9W,@fattoquotidiano giusta pena. peccato sia solo il primo grado. in appello e poi in cassazione l'ergastolo diminuira' di sicuro purtroppo.,"@FirenzeCorti @fattoquotidiano E di tanto,purtroppo!!!",1,0,1,0,0,0,,1
_1621071816,_860599877147013121,_860556055801200640,_860556055801200640,2017-05-05T20:59:34.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/9Fvn423H9W,0,"@fattoquotidiano Il femminicidio,sempre + frequente,con mezzi primitivi(coltelli)dopo la fusione delle culture,va prevenuto con esilio per violenze di genere",1,0,1,0,0,1,0,1
_1621071816,_860598634454421506,_860556055801200640,_860556055801200640,2017-05-05T20:54:38.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/9Fvn423H9W,0,"@fattoquotidiano Si auspica ergastolo a vita in isolamento..La condanna a morte che lui ha inflitto a Sara,senza reticenze, non ammette sconti.",1,0,1,0,0,1,1,1
_715130347852283905,_860592136999374848,_860556055801200640,_860556055801200640,2017-05-05T20:28:49.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/9Fvn423H9W,0,@fattoquotidiano non resta che questo dopo aver ucciso,1,0,1,0,0,0,,1
_411498237,_860582660384665600,_860556055801200640,_860556055801200640,2017-05-05T19:51:09.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/9Fvn423H9W,0,"@fattoquotidiano Credo che l'ergastolo per questi mostri sia un aperitivo. Io lo brucerei un pezzo alla volta. X fermare questo scempio, serve super durezza.",1,0,1,0,0,1,1,1
_145978802,_860573852832858114,_860556055801200640,_860556055801200640,2017-05-05T19:16:09.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/9Fvn423H9W,0,@fattoquotidiano amen,1,1,0,0,0,0,,1
_3245319177,_860567427897319424,_860556055801200640,_860556055801200640,2017-05-05T18:50:38.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/9Fvn423H9W,0,"@fattoquotidiano Ben fatto👏👏👏tutti gli uomini che uccidono mogli, compagne ed ex dovrebbero averlo",1,1,0,0,0,0,,1
_856413495545475072,_860566374317527043,_860556055801200640,_860556055801200640,2017-05-05T18:46:26.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/9Fvn423H9W,0,@fattoquotidiano L'Ergastolo è il minimo. Certi individui andrebbero spazzati via. @beppe_grillo @luigidimaio @ale_dibattista,1,0,1,0,0,1,1,1
_1516694210,_860564377178705920,_860556055801200640,_860556055801200640,2017-05-05T18:38:30.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/9Fvn423H9W,0,@fattoquotidiano Qualche volta la legge funziona.......speriamo,1,1,0,0,0,0,,1
_132065873,_860563783462387712,_860556055801200640,_860556055801200640,2017-05-05T18:36:09.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/9Fvn423H9W,0,@fattoquotidiano Così poco ... 😳😳,1,0,1,0,0,0,,1
_1219746468,_860561326074101760,_860556055801200640,_860556055801200640,2017-05-05T18:26:23.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/9Fvn423H9W,0,@fattoquotidiano giusta pena. peccato sia solo il primo grado. in appello e poi in cassazione l'ergastolo diminuira' di sicuro purtroppo.,1,1,1,0,0,0,,1
_497996910,_860559958169067520,_860556055801200640,_860556055801200640,2017-05-05T18:20:57.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/9Fvn423H9W,0,@fattoquotidiano Dovrebbero darlo più spesso l'ergastolo a chi uccide.,1,0,1,0,0,0,,1
_268505629,_860850178303156225,_860729611109511168,_860729611109511168,2017-05-06T13:34:10.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/1noQDlzAO8R",0,@Agenzia_Ansa Rinchiuso: bravi! Ora la vera giustizia é  di buttare le chiavi. non vi fate addolcire con pene di grazia. Questo mostro non merita nulla!,1,1,0,0,0,1,1,1
_818774985330360320,_860829584811544576,_860729611109511168,_860729611109511168,2017-05-06T12:12:21.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/1noQDlzAO8R",0,@Agenzia_Ansa Era il minimo che potessero infliggere a sto animale. Purtroppo ci sono ancora 2 gradi di giudizio in questo paese dove la giustizia fa pena,1,0,1,0,0,1,1,1
_3154591432,_860786713681158144,_860729611109511168,_860785763289640960,2017-05-06T09:21:59.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/1noQDlzAO8R",@dantonio_luca @Agenzia_Ansa Cosa rara in questo paese,@alepertutti @Agenzia_Ansa L'ergastolo ci vorrebbe per chiunque uccide! E basta!!!😑Peccato non accada.,1,0,1,0,0,0,,1
_531142610,_860785763289640960,_860729611109511168,_860785562726301697,2017-05-06T09:18:13.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/1noQDlzAO8R",@Agenzia_Ansa @alepertutti Una volta tanto giustizia!!!,@dantonio_luca @Agenzia_Ansa Cosa rara in questo paese,1,0,1,0,0,0,,1
_3154591432,_860785562726301697,_860729611109511168,_860729611109511168,2017-05-06T09:17:25.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/1noQDlzAO8R",0,@Agenzia_Ansa @alepertutti Una volta tanto giustizia!!!,1,1,0,0,0,0,,1
_4316205317,_860785479901483008,_860729611109511168,_860729611109511168,2017-05-06T09:17:05.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/1noQDlzAO8R",0,@Agenzia_Ansa IN PRIMO GRADO C'È NE SOno ANCORA 2,1,0,1,0,0,0,,1
_435844708,_860772479433940993,_860729611109511168,_860729611109511168,2017-05-06T08:25:26.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/1noQDlzAO8R",0,"@Agenzia_Ansa non è vero che ""mai una gioia"": 
eccone una, 
benché amara.",1,1,0,0,0,0,,1
_775798371235790848,_860761595328253952,_860729611109511168,_860729611109511168,2017-05-06T07:42:11.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/1noQDlzAO8R",0,@Agenzia_Ansa ...l'idea che chi mi ha tolto una figlia é ancora vivo anche se recluso.....non appaga il senso di giustizia che concepisco!!!,1,0,1,0,0,0,,1
_478048614,_860734319752605698,_860729611109511168,_860729611109511168,2017-05-06T05:53:48.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/1noQDlzAO8R",0,@Agenzia_Ansa mi pare il minimo.,1,0,0,0,0,0,,1
_750333027088302080,_860730957858574336,_860729611109511168,_860729611109511168,2017-05-06T05:40:26.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/1noQDlzAO8R",0,"@Agenzia_Ansa Se la voleva scappottáre col rito abbreviato, sta chiàvica. Godo!",1,1,1,0,0,1,1,1
_515561206,_860890263652364289,_860537810406789121,_860537810406789121,2017-05-06T16:13:28.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/uCmlOVdkxB",0,"@Agenzia_Ansa @evavola Mi pare ""giusto"", per la ""umana giustizia"". Comunque, se si ""comporta bene"", magari, non subito, un ""permessino"", più in la uno ""sconticino""",1,0,0,1,0,0,,1
_834914851,_860797679118544896,_860537810406789121,_860537810406789121,2017-05-06T10:05:34.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/uCmlOVdkxB",0,@Agenzia_Ansa Per essere sicuri si possono dare 2 ergastoli ?,1,0,0,1,0,0,,1
_4100046929,_860776348075339776,_860537810406789121,_860770205022261248,2017-05-06T08:40:48.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/uCmlOVdkxB",N/D,"@kikkadna @Agenzia_Ansa Si,lo so che è un utopia,ma spero che cambino le cose in futuro!",1,1,1,0,0,0,,1
_2693296072,_860612135902224384,_860537810406789121,_860537810406789121,2017-05-05T21:48:17.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/uCmlOVdkxB",0,@Agenzia_Ansa Poco!,1,0,1,0,0,0,,1
_536720414,_860602538751557632,_860537810406789121,_860537810406789121,2017-05-05T21:10:09.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/uCmlOVdkxB",0,@Agenzia_Ansa E adesso buttate via la chiave,1,0,1,0,0,1,1,1
_1071229765,_860582720099012609,_860537810406789121,_860537810406789121,2017-05-05T19:51:23.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/uCmlOVdkxB",0,@Agenzia_Ansa Nessun perdono... nessuno sconto. . nessuna possibilità di libertà vigilata né  altro. Ricordiamo il Circeo: anche dopo anni   reiterano...,1,0,1,0,0,1,1,1
_404022257,_860576085024571393,_860537810406789121,_860537810406789121,2017-05-05T19:25:02.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/uCmlOVdkxB",0,@Agenzia_Ansa Il balordo ha avuto ciò che si meritava.,1,1,1,0,0,1,1,1
_2856245099,_860565187128152066,_860537810406789121,_860537810406789121,2017-05-05T18:41:43.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/uCmlOVdkxB",0,"@Agenzia_Ansa Questa gente fa ribrezzo,andrebbe tirata via la chiave, neanche la pena di morte, fanno più male gli anni di carcere in isolam",1,0,1,0,0,1,1,1
_3556409717,_860561940304867332,_860537810406789121,_860537810406789121,2017-05-05T18:28:49.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/uCmlOVdkxB",0,"@Agenzia_Ansa Che li faccia tutti gli anni di galera, no sconti no buona condotta no pentimenti!Chi fa una cosa del genere non può stare libero",1,0,0,0,0,1,1,1
_3425424935,_860560965909307393,_860537810406789121,_860537810406789121,2017-05-05T18:24:57.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/uCmlOVdkxB",0,"@Agenzia_Ansa Intanto cambiate la foto, imbarazzante vista la vicenda. Se li merita tutti, senza sconti. Buttate la chiave.",1,0,1,0,0,1,1,1
_2811563782,_860556115138019328,_860537810406789121,_860537810406789121,2017-05-05T18:05:40.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/uCmlOVdkxB",0,@Agenzia_Ansa appello=sconto di pena fra 8 max 1no anni avrà permessi per passare natale in famiglia...la legge è una cosa la giustizia italiana un'altra https://t.co/AtF2AXSpnX,1,0,1,1,0,0,,1
_780018585498447873,_860546689521811456,_860537810406789121,_860537810406789121,2017-05-05T17:28:13.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/uCmlOVdkxB",0,@Agenzia_Ansa Troppo poco occhio per occhio ##dente per dente####,1,0,1,0,0,1,1,1
_4870755754,_860543404387827713,_860537810406789121,_860537810406789121,2017-05-05T17:15:10.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/uCmlOVdkxB",0,@Agenzia_Ansa Finalmente ! Un po' di giustizia!!!!bravo giudice! .,1,1,0,0,0,0,,1
_4100046929,_860542466214285312,_860537810406789121,_860537810406789121,2017-05-05T17:11:26.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/uCmlOVdkxB",0,"@Agenzia_Ansa Molto bene,ma la pena deve scontarla fino in fondo quell'essere indefinibile!!!",1,1,1,0,0,1,1,1
_428393835,_860539621905747968,_860537810406789121,_860537810406789121,2017-05-05T17:00:08.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/uCmlOVdkxB",0,@Agenzia_Ansa Mi pare il minimo.. gettassero la chiave,1,0,0,0,0,1,1,1
_808924015,_860539532822937606,_860537810406789121,_860537810406789121,2017-05-05T16:59:47.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/uCmlOVdkxB",0,"@Agenzia_Ansa Finalmente! Magari il prossimo bastardo, ci penserà due volte, prima di farlo! Giustizia per Sara! https://t.co/XJzZ9v9yF5",1,1,0,0,0,1,1,1
_499225041,_860538629365563392,_860537810406789121,_860537810406789121,2017-05-05T16:56:11.000Z,"Il #delitto della #Magliana a Roma. Uccise e bruciò la ex fidanzata, condannato all'#ergastolo https://t.co/uCmlOVdkxB",0,@Agenzia_Ansa È sempre troppo poco,1,0,1,0,0,0,,1
_789859954048008192,_860884353936707585,_860624594641846272,_860624594641846272,2017-05-06T15:49:59.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato Foto La mamma: scuse? sono finte https://t.co/rDzokRxFXP https://t.co/3MeBljnNed",0,"@Corriere no ci crederei neanche io alle scuse di un ignobile 
😠😠😠",1,0,1,0,0,1,1,1
_2683517583,_860843964752162816,_860624594641846272,_860624594641846272,2017-05-06T13:09:29.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato Foto La mamma: scuse? sono finte https://t.co/rDzokRxFXP https://t.co/3MeBljnNed",0,@Corriere Scuse? Ma de che? non ci possono essere scuse!!!!,1,0,0,0,0,0,,1
_3224620169,_860758654131351553,_860624594641846272,_860624594641846272,2017-05-06T07:30:29.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato Foto La mamma: scuse? sono finte https://t.co/rDzokRxFXP https://t.co/3MeBljnNed",0,@Corriere che lo sconti tutto dal primo all'ultimo giorno,1,0,0,0,0,1,1,1
_735062260847136769,_860749085611053056,_860624594641846272,_860624594641846272,2017-05-06T06:52:28.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato Foto La mamma: scuse? sono finte https://t.co/rDzokRxFXP https://t.co/3MeBljnNed",0,@Corriere Niente isolamento x gente così...in pasto ai detenuti !!!,1,0,1,0,0,1,1,1
_3854522903,_860640092569862144,_860624594641846272,_860639576892878852,2017-05-05T23:39:22.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato Foto La mamma: scuse? sono finte https://t.co/rDzokRxFXP https://t.co/3MeBljnNed","@Corriere di assassini ok , hooo bastardi vedete che assassino non eh che manca il lavoro lo prendi come un mestiere ammazzare penale illegale che eh",@Corriere una moda l hanno presa sti uomini senza palla prova ad ammazzare uno pi forte di te vedi come ti fa il tuo culo da medusa rosa che dioc aiut,1,0,0,0,0,1,1,1
_3854522903,_860639576892878852,_860624594641846272,_860639246834683904,2017-05-05T23:37:19.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato Foto La mamma: scuse? sono finte https://t.co/rDzokRxFXP https://t.co/3MeBljnNed",@Corriere fate solo bene a sti programmi di merda di cronaca ok quando noi di cronaca volevamo vedere le comiche che brutto mondo non solo di ladri ma,"@Corriere di assassini ok , hooo bastardi vedete che assassino non eh che manca il lavoro lo prendi come un mestiere ammazzare penale illegale che eh",1,0,1,0,0,1,0,1
_3854522903,_860639246834683904,_860624594641846272,_860638731732226051,2017-05-05T23:36:01.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato Foto La mamma: scuse? sono finte https://t.co/rDzokRxFXP https://t.co/3MeBljnNed",@Corriere fanno del male ai loro simili lo chiami amore mi uccidi certo che quelli normali siete tu parolisi eh company ma che davvero fate,@Corriere fate solo bene a sti programmi di merda di cronaca ok quando noi di cronaca volevamo vedere le comiche che brutto mondo non solo di ladri ma,1,0,1,0,0,0,,0
_3854522903,_860638731732226051,_860624594641846272,_860638430992183296,2017-05-05T23:33:58.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato Foto La mamma: scuse? sono finte https://t.co/rDzokRxFXP https://t.co/3MeBljnNed",@Corriere se hia un po disangue nelle vene ammazzati forse lassu dio fa ancora in tempo a perdonare ma ti ti ti devi ammazzare tu eh tutti quelli che,@Corriere fanno del male ai loro simili lo chiami amore mi uccidi certo che quelli normali siete tu parolisi eh company ma che davvero fate,1,0,1,0,0,0,,1
_3854522903,_860638430992183296,_860624594641846272,_860638019862376449,2017-05-05T23:32:46.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato Foto La mamma: scuse? sono finte https://t.co/rDzokRxFXP https://t.co/3MeBljnNed",@Corriere una carogna che ammazza la sua amata diceva di amarla bello tutto per questo ammazza la brucia chiede scusa aoooaaao ma sei carogna davvero,@Corriere se hia un po disangue nelle vene ammazzati forse lassu dio fa ancora in tempo a perdonare ma ti ti ti devi ammazzare tu eh tutti quelli che,1,0,1,0,0,1,1,1
_3854522903,_860638019862376449,_860624594641846272,_860624594641846272,2017-05-05T23:31:08.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato Foto La mamma: scuse? sono finte https://t.co/rDzokRxFXP https://t.co/3MeBljnNed",0,@Corriere una carogna che ammazza la sua amata diceva di amarla bello tutto per questo ammazza la brucia chiede scusa aoooaaao ma sei carogna davvero,1,0,1,0,0,1,1,1
_797599806319448064,_860611777427640320,_860537263167549441,_860537263167549441,2017-05-05T21:46:51.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato  https://t.co/rDzokRxFXP https://t.co/muFh9c2aIf",0,@Corriere Se sconta tutta la pena è una punizione giusta,1,1,0,0,0,0,,1
_320108966,_860605030512152578,_860537263167549441,_860537263167549441,2017-05-05T21:20:03.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato  https://t.co/rDzokRxFXP https://t.co/muFh9c2aIf",0,@Corriere Il problema è che questo tra quindici anni sta fuori....,1,0,1,0,0,0,,1
_3436554999,_860601790592667649,_860537263167549441,_860537263167549441,2017-05-05T21:07:10.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato  https://t.co/rDzokRxFXP https://t.co/muFh9c2aIf",0,@Corriere il minimo...,1,0,0,0,0,0,,1
_47252494,_860572394896994305,_860537263167549441,_860537263167549441,2017-05-05T19:10:22.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato  https://t.co/rDzokRxFXP https://t.co/muFh9c2aIf",0,"@Corriere Troppo poco l'ergastolo,appenderlo per le palle finchè non si staccano e muore dissanguato!",1,0,1,0,0,1,1,1
_850268993709420545,_860549355522187268,_860537263167549441,_860537263167549441,2017-05-05T17:38:49.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato  https://t.co/rDzokRxFXP https://t.co/muFh9c2aIf",0,@Corriere Spalare la sabbia dal Sahara con un cucchiaino da gelato nel culo no?,1,0,1,1,0,1,1,1
_354306815,_860546328040013825,_860537263167549441,_860537263167549441,2017-05-05T17:26:47.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato  https://t.co/rDzokRxFXP https://t.co/muFh9c2aIf",0,@Corriere Giusto,1,1,0,0,0,0,,1
_434387464,_860542324811681792,_860537263167549441,_860537263167549441,2017-05-05T17:10:52.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato  https://t.co/rDzokRxFXP https://t.co/muFh9c2aIf",0,@Corriere @Marinamas Magari tappezzare la cella con le foto della povera creatura ! Con rispetto,1,0,0,0,0,0,,1
_3036359561,_860539676091973635,_860537263167549441,_860537263167549441,2017-05-05T17:00:21.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato  https://t.co/rDzokRxFXP https://t.co/muFh9c2aIf",0,@Corriere Molto bene !,1,1,0,0,0,0,,1
_2833791538,_860538247730130944,_860537263167549441,_860537263167549441,2017-05-05T16:54:40.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato  https://t.co/rDzokRxFXP https://t.co/muFh9c2aIf",0,@Corriere ..in pasto a qualcosa no...?,1,0,1,1,0,1,1,1
_726108618051997696,_860537959984005120,_860537263167549441,_860537263167549441,2017-05-05T16:53:32.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato  https://t.co/rDzokRxFXP https://t.co/muFh9c2aIf",0,@Corriere Troppo poco,1,0,1,0,0,0,,1
_743561670530899968,_860537607654080518,_860537263167549441,_860537263167549441,2017-05-05T16:52:08.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato  https://t.co/rDzokRxFXP https://t.co/muFh9c2aIf",0,@Corriere sentenza giusta giustizia fatta riposa in pace,1,1,0,0,0,0,,1
_830931973,_860537595461337088,_860537263167549441,_860537263167549441,2017-05-05T16:52:05.000Z,"Sara strangolata e bruciata,  ergastolo all’ex fidanzato  https://t.co/rDzokRxFXP https://t.co/muFh9c2aIf",0,@Corriere E ci mancherebbe.. #buttatelachiave,1,0,1,0,0,0,,1
_1250202577,_860847459064578048,_860616909494120448,_860845912326889472,2017-05-06T13:23:22.000Z,Uccise e bruciò la ex fidanzata: condannato all’ergastolo Vincenzo Paduano @LaStampa https://t.co/KMiBQ82xay,@aIex_cat @LaStampa fino alla fine dei suoi gg.,"@toni_12no7nono @LaStampa Esatto. Quello
Buon inferno",1,0,1,0,0,1,1,1
_844617271607803910,_860845912326889472,_860616909494120448,_860844114094563328,2017-05-06T13:17:13.000Z,Uccise e bruciò la ex fidanzata: condannato all’ergastolo Vincenzo Paduano @LaStampa https://t.co/KMiBQ82xay,"@toni_120700 @LaStampa E lo so
La cosa fondamentale ora è che se lo faccia tutto fino alla fine",@aIex_cat @LaStampa fino alla fine dei suoi gg.,1,0,0,0,0,0,,1
